
18143;苹果 iPhone 5C（电信版）;980;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);;0.5;0.4;0.7;-0.1;-0.03;;0.06;0.25;;0.03;0.07;;;;;0.4;0.8;;0.07;0.15;0.2;0.4;0.5;;0.05;0.08;0.05;0.05;0.08;0.05;0.2;;0.2;0.2;0.4;;0.2;0.07;0.5;;0.1;;0.2;;0.1;0.15;0.25;;0.05;0.1;0.12;-0.005;-0.001;;
18717;苹果iPhone 6（国行A1586）;3550;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18865;苹果iPhone 6（港版A1586）;3350;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18861;苹果iPhone 6（国行A1589）;3200;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18949;苹果iPhone 6 Plus(水货);3050;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
16671;iphone 2代;30;sz 0;h 0;(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
18583;苹果iPhone 6(水货);2850;sz ;h ;(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18109;iphone 5s(A1528国行版);1900;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
17872;苹果iPhone 5S（电信版）;1900;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18111;iphone 5s(A1530港版);1800;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18655;iphone 5s(A1530国行版);1700;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18643;iphone 5s(A1518国行版);1500;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
16820;iPhone 5;1350;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);-0.1;-0.05;;0.1;0.15;;0.5;0.8;;0.1;0.2;;0.4;0.65;;0.25;0.25;0.25;0.3;0.2;0.6;;0.05;0.05;0.05;0.08;0.08;0.05;0.2;;0.07;0.1;;0.07;0.1;0.2;0.05;;-0.03;;0.2;;0.1;0.1;0.1;0.3;0.6;-0.003;;
18195;iPhone 5c;1050;sz ;h ;(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);(null);;0.5;0.4;0.7;-0.1;-0.03;;0.06;0.25;;0.03;0.07;;;;;0.4;0.8;;0.07;0.15;0.2;0.4;0.5;;0.05;0.08;0.05;0.05;0.08;0.05;0.2;;0.2;0.2;0.4;;0.2;0.07;0.5;;0.1;;0.2;;0.1;0.15;0.25;;0.05;0.1;0.12;-0.005;-0.001;;
16677;iphone 3代;10;sz 0;h 0;(null);(null);(null);(null);(null);(null);(null);-0.1;-0.03;;0.05;0.25;;0.65;0.85;;0.07;0.15;0.03;;;;0.5;0.8;;0.25;0.25;0.25;0.5;0.2;0.6;;0.05;0.05;0.05;0.05;0.08;0.05;0.2;;0.08;0.06;;0.05;0.1;0.12;;0.2;;0.1;0.15;0.2;0.5;0.75;-0.003;;
