HTC T328w（新渴望V）联通版;30
锤子手机 Smartisan T1 4G版;850
三星I829（Galaxy Style Duos/电信版）;110
摩托罗拉XT882（电信版）;70
中兴V988（Grand S 联通版）;50
中兴U930;5
诺基亚 N70;5
华为 荣耀6至尊版 移动TD-LTE版;830
联想A850+;110
HTC One V;40
三星G3518（GALAXY Core 4G）;220
联想 S850;70
华为 T8620;5
HTC Desire 5060 联通版;40
TCL S720 联通版;160
华为T9200（Ascend P1 移动版）;70
摩托罗拉XT910（RAZR锋芒）;70
中兴U950（移动版）;5
海信EG939;5
三星I919U;50
金立GN600;40
TCL Hero N3/Y910T 移动版;260
HTC One S;40
诺基亚 N78;10
联想 S700;5
R970;440
联想 P80;5
三星I9118（Galaxy Grand）;230
金立GN137;5
三星 G3508 移动版;140
HTC Desire 7060（联通版）;350
中兴 U232;5
摩托罗拉XT532（联通版）;5
三星G3589W(GALAXY CORE Lite电信4G);260
酷派 5820;5
HTC One E8（M8Sd/时尚版/电信4G）;680
华为Y511（联通版 移动版）;110
朵唯 S1 ;140
海信EG966;80
OPPO A109;5
酷派 f603;5
联想A670t;30
三星 I8190 GALAXY SIII Mini;20
联想 S720;20
华为 G620 ;160
联想VIBE X（S968T/移动版）;140
三星 I9260（Galaxy premier）;190
夏普SH330U;5
联想黄金斗士A8（A808T-I/畅玩版/移动4G）;120
联想A850 手机;110
酷派 5855;5
华为 荣耀X1/7D-501u 联通版;660
OPPO N1 Mini/N5117 移动版;470
华为荣耀 畅玩4X 电信版（高配）;590
联想S680;70
红米 2;310
HTC Desire 709d 电信版;380
TCL Hero N3/Y910 联通版;280
联想A658T;70
酷派大神1S（9976T）;140
摩托罗拉 A3000;5
联想S850e;50
三星 s5820;10
中兴 nubia Z7 Mini/NX507J;490
三星 I929（GALAXY SII DUO 电信版）;120
TCL Idol X+/S960 联通版;260
中兴 X876;5
中兴 U830;5
步步高 i589;5
联想 S880;10
三星S7230E;5
天语W806;10
HTC Desire D516;140
LG Optimus G Pro 2;950
金立 GN180;40
中兴 U900;5
酷派8295;110
TCL Idol X+/S960T 移动版;310
华为 U8660;5
OPPO F19;5
诺基亚 E6-00;5
联想A516;5
酷派8085;5
酷派8970L（酷派大观4 移动版）;260
三星 G3558;160
联想A308t;5
OPPO T5;5
LG GW880;5
锤子手机 Smartisan T1 3G版;730
诺基亚 710;5
三星 I9070;70
康佳 D165;5
酷派7320;70
中兴青漾2（G718C/电信4G）;190
摩托罗拉 me865;5
HTC One max（809D/双卡/电信版）;490
先锋S90w;5
LG KS20;5
华为 Mate 7 尊爵版;2470
黑莓Passport  Q30;1440
酷派 5879 电信版;70
摩托罗拉 XT615;5
海信 NANA E260T+ 电信3G手机;40
OPPO X905;70
华为Honor 荣耀（C8860）;5
联想a590;20
三星 I8160（Galaxy Ace 2）;5
OPPO A121;5
诺基亚 N85;10
HTC G7 Desire A8181;5
Lenovo/联想 a398t ;10
华为 荣耀3C/H30-U10 联通版;280
LG KM900e;5
酷派8020（移动版）;5
LG GD310;5
联想 A68e;5
OPPO A109K;5
酷派5876（电信版）;90
酷派 5219 电信版;90
三星S5300（Galaxy Pocket）;5
LG KC550;5
酷派9120（大观S/电信版）;90
HTC Desire 610t 移动版;280
酷派5910;5
诺基亚 603;5
联想A766（联通版）;90
酷派 铂顿（V1-C）电信4G;420
诺基亚 C6-01;20
三星 I8150;70
摩托罗拉 ME722 里程碑2;5
HTC G25/T528T/One ST;70
酷派8056;5
联想S650;110
三星 F488E F480;5
金立T1;90
中兴 Nubia Z5S mini LTE/NX403A;280
索尼爱立信 MT15i;20
华为Y500;5
HTC 8X/C620d 电信版;70
诺基亚 7310c;5
诺基亚 E5-00;5
联想 P902;5
小米Note女神版;1240
酷派 5310;5
HTC G5 NexusOne;10
诺基亚 Lumia 610C;70
三星 GALAXY A7 （A7000/双4G）;1240
华为Ascend W2;70
诺基亚 E72i;5
摩托罗拉 A1890;5
三星 C3518;5
三星 B5722C B5722;5
华为 C8810;5
三星 GALAXY S6 Edge（G9250/全网通） ;3990
酷派 8750 移动版;140
诺基亚 3500c;5
诺基亚 6270;5
小米 M2C/M2 电信版;300
三星 M609;5
诺基亚 E72;5
酷派 7260;5
HTC One M9（M9W/联通4G）;2130
vivo X1;140
联想 A790e;5
HTC One MAX/T6 水货版;450
三星 W579＋;5
vivo X5Max+（移动4G）;1440
HTC EVO 4G;5
三星 S5838（GALAXYAce）联通版;70
摩托罗拉Droid Turbo（XT1254）;1730
YotaPhone 2;1290
联想 S939 联通版;140
三星W2015（电信4G）;7320
华为 G7 Ascend G7;900
三星 S5660（GalaxyGio）;5
黑莓 9780;40
索爱 U20i;5
三星 I917;10
LG P940（Prada3.0）;70
HTC One max（8060/双卡/联通版）;450
摩托罗拉 ME511;5
