18021;三星S7568I（移动版）;60;sz ;h 
16878;三星 S7568;60;sz 60;h 60
17311;三星i739;60;sz 0;h 0
17072;三星N7105（GALAXY Note II LTE）;580;sz 580;h 580
18772;三星G9098（移动版）;5350;sz ;h 
17093;三星GALAXY S4（I9500/16GB/单卡版）;530;sz 500;h 500
18740;三星GALAXY Note II(n7100);530;sz 500;h 500
17088;三星GALAXY S4（I959/电信/双卡版）;520;sz 0;h 0
18191;三星 GALAXY S4（I9507V/联通TD-LTE版）;500;sz ;h 
17095;三星GALAXY S4（I9502/联通/双卡版）;500;sz 0;h 0
17094;三星GALAXY S4（I9508/移动/单卡版）;500;sz 0;h 0
18779;三星I8258（移动版）;50;sz ;h 
17299;三星i8750;50;sz 50;h 50
15804;三星 i8150;50;sz 50;h 50
15871;三星 I9070;50;sz 100;h 100
17215;三星S7562i（Galaxy Trend Duos）;50;sz 50;h 50
15780;三星 I9220(n7000);50;sz 330;h 330
15748;三星 i9000;50;sz 100;h 100
15794;三星 B7722;50;sz 50;h 50
17481;三星 S5831i ;50;sz 50;h 50
15758;三星 W589;50;sz 50;h 50
15866;三星 m130k;50;sz 50;h 50
18444;三星i9210;50;sz ;h 
17061;三星I779;50;sz 0;h 0
15725;三星 D838;5;sz 5;h 5
15629;三星 C408;5;sz 5;h 5
15756;三星 i909;5;sz 5;h 5
15655;三星 F700;5;sz 5;h 5
15796;三星 T939;5;sz 5;h 5
16864;三星 S6352;5;sz 5;h 5
15670;三星 W629;5;sz 5;h 5
15789;三星 s259;5;sz 5;h 5
15707;三星 U908;5;sz 5;h 5
15622;三星 U600;5;sz 5;h 5
15732;三星 G618;5;sz 5;h 5
15636;三星 S7220;5;sz 5;h 5
15786;三星 U908E;5;sz 5;h 5
17040;三星S6108;5;sz 5;h 5
15659;三星 i718;5;sz 5;h 5
15690;三星 B5210U;5;sz 5;h 5
15607;三星 I7500U;5;sz 5;h 5
15720;三星 S6700C;5;sz 5;h 5
15610;三星 S8000C;5;sz 10;h 5
15747;三星 i8320;5;sz 5;h 5
15645;三星 W579＋;5;sz 5;h 5
15772;三星 S3850;5;sz 5;h 5
15681;三星 L708E;5;sz 5;h 5
15708;三星 S3110C;5;sz 5;h 5
18125;三星Galaxy S（I9018）;5;sz 5;h 5
15635;三星 W239;5;sz 5;h 5
15667;三星 E258;5;sz 5;h 5
15699;三星 C3518;5;sz 5;h 5
15714;三星 S5550U;5;sz 5;h 5
15626;三星 C3050C;5;sz 5;h 5
15736;三星 M318;5;sz 5;h 5
15650;三星 i688;5;sz 5;h 5
15793;三星 I559;5;sz 5;h 5
15694;三星 B7330;5;sz 5;h 5
15726;三星 D908;5;sz 5;h 5
15621;三星 W709;5;sz 5;h 5
15651;三星 i560;5;sz 5;h 5
15687;三星 B3210;5;sz 5;h 5
15716;三星 S5600;5;sz 5;h 5
15751;三星 i8000;5;sz 5;h 5
15744;三星 i6500;5;sz 5;h 5
15640;三星 C3310C;5;sz 5;h 5
16794;三星 S5578;5;sz 5;h 5
15704;三星 C6112;5;sz 5;h 5
15696;三星 C3110C;5;sz 5;h 5
15727;三星 E2550;5;sz 5;h 5
15632;三星 CC01;5;sz 5;h 5
15656;三星 D780;5;sz 5;h 5
15671;三星 F110;5;sz 5;h 5
15709;三星 S3030C;5;sz 5;h 5
15623;三星 D988;5;sz 5;h 5
15733;三星 G808E;5;sz 5;h 5
15642;三星 J700;5;sz 5;h 5
15790;三星 i9088;5;sz 5;h 5
17013;三星 S5368;5;sz 5;h 5
15660;三星 F218;5;sz 5;h 5
15611;三星 F480;5;sz 5;h 5
15722;三星 S8500;5;sz 5;h 5
15612;三星 i900;5;sz 5;h 5
15773;三星 S5750E;5;sz 5;h 5
15682;三星 U808E;5;sz 5;h 5
15806;三星 i509;5;sz 5;h 5
15739;三星 i408;5;sz 0;h 5
15710;三星 S3500;5;sz 5;h 5
15882;三星 S5230C;5;sz 5;h 5
15637;三星 S7350C;5;sz 5;h 5
15669;三星 S7330;5;sz 5;h 5
15701;三星 C3610C;5;sz 5;h 5
15679;三星 E1070C;5;sz 5;h 5
15719;三星 S5608U;5;sz 5;h 5
15737;三星 M7600;5;sz 5;h 5
15653;三星 W599;5;sz 5;h 5
16882;三星S7530（OMNIA M）;5;sz 5;h 5
15664;三星 E1110C;5;sz 5;h 5
15787;三星 i897;5;sz 5;h 5
15618;三星 S359;5;sz 5;h 5
15620;三星 D888;5;sz 5;h 5
15771;三星 I8700;5;sz 5;h 5
15657;三星 i600;5;sz 10;h 10
15777;三星 T959;5;sz 5;h 5
15686;三星 S3600C;5;sz 5;h 5
15848;三星 I569;5;sz 5;h 5
15605;三星 S3650C;5;sz 5;h 5
15717;三星 S5628;5;sz 5;h 5
15608;三星 F488E;5;sz 5;h 5
15753;三星 i5508;5;sz 5;h 5
15745;三星 i6410;5;sz 5;h 5
15641;三星 U700;5;sz 5;h 5
15678;三星 S3310C;5;sz 5;h 5
16789;三星 S5698;5;sz 5;h 5
15705;三星 U608;5;sz 5;h 5
15728;三星 E878;5;sz 5;h 5
15633;三星 C6625;5;sz 5;h 5
15665;三星 F689;5;sz 0;h 0
15799;三星 E2100C;5;sz 5;h 5
15673;三星 i8910;5;sz 5;h 5
15713;三星 S5150;5;sz 5;h 5
15869;三星 S3778;5;sz 5;h 5
15624;三星 D880;5;sz 5;h 5
15734;三星 G818E;5;sz 5;h 5
15791;三星 E2558;5;sz 5;h 5
15661;三星 F268;5;sz 5;h 5
15781;三星 C5530;5;sz 5;h 5
15692;三星 B5702C;5;sz 5;h 5
16774;三星 I8350;5;sz 5;h 5
15615;三星 G810;5;sz 5;h 5
15767;三星 S5520;5;sz 5;h 5
15648;三星 E848;5;sz 5;h 5
15774;三星 S5660;5;sz 5;h 5
15630;三星 F639;5;sz 0;h 5
15711;三星 S3601C;5;sz 5;h 5
15749;三星 J708;5;sz 5;h 5
15883;三星 M8800;5;sz 5;h 5
15742;三星 i5800;5;sz 5;h 5
15638;三星 i728;5;sz 5;h 5
15672;三星 i6330;5;sz 5;h 5
15802;三星 S5360 ;5;sz 5;h 5
15702;三星 C3730C;5;sz 5;h 5
15860;三星 S5638;5;sz 5;h 5
15721;三星 S7070C;5;sz 5;h 5
15738;三星 M8910U;5;sz 5;h 5
15654;三星 i780;5;sz 5;h 5
15666;三星 G608;5;sz 5;h 5
15788;三星 S6888;5;sz 5;h 5
15700;三星 C3630C;5;sz 5;h 5
15619;三星 i908;5;sz 5;h 5
15731;三星 F408;5;sz 5;h 5
15631;三星 D980;5;sz 5;h 5
15783;三星 S3653;5;sz 5;h 5
17045;三星S7508（Galaxy Ace Plus）;5;sz 5;h 5
15658;三星 S5200;5;sz 5;h 5
15689;三星 B3410;5;sz 5;h 5
15606;三星 S5233;5;sz 5;h 5
15718;三星 S5630C;5;sz 5;h 5
15609;三星 S3930C;5;sz 5;h 5
15746;三星 i7680;5;sz 5;h 5
15770;三星 I5500;5;sz 5;h 5
15680;三星 M609;5;sz 5;h 5
15706;三星 U708;5;sz 5;h 5
15873;三星 i777;5;sz 5;h 5
15730;三星 F330;5;sz 5;h 5
15634;三星 C5212;5;sz 5;h 5
15759;三星 S5570;5;sz 5;h 5
15668;三星 F250;5;sz 5;h 5
15698;三星 C3370U;5;sz 5;h 5
15674;三星 D788;5;sz 5;h 5
15715;三星 S5560;5;sz 5;h 5
15870;三星 S5690;5;sz 5;h 5
15625;三星 J808E;5;sz 5;h 5
15735;三星 J618;5;sz 5;h 5
15646;三星 M628;5;sz 5;h 5
15792;三星 b309;5;sz 5;h 5
15662;三星 F278;5;sz 5;h 5
15784;三星 B7702;5;sz 5;h 5
17475;三星 E1228 ;5;sz 5;h 5
15616;三星 C5510U;5;sz 5;h 5
15724;三星 D618;5;sz 5;h 5
15614;三星 G600;5;sz 5;h 5
15768;三星 S8530;5;sz 5;h 5
15649;三星 i458;5;sz 5;h 5
15775;三星 S5670;5;sz 5;h 5
15652;三星 S7120U;5;sz 5;h 5
15712;三星 S3830U;5;sz 5;h 5
15750;三星 i8180C;5;sz 5;h 5
15743;三星 I6320C;5;sz 5;h 5
15639;三星 M2710C;5;sz 5;h 5
15764;三星 B7620;5;sz 5;h 5
15676;三星 E840;5;sz 5;h 5
16795;三星 S5380D;5;sz 5;h 5
15703;三星 C5130U;5;sz 5;h 5
15884;三星 S8300C;5;sz 5;h 5
18595;三星G9092（联通版/大器Ⅲ）;4800;sz ;h 
18204;三星 W2014;4500;sz ;h 
18639;三星Galaxy Mega Plus（I9152P/联通版）;450;sz ;h 
15763;三星 W899;450;sz 0;h 0
15849;三星 I9300;400;sz 400;h 400
18124;三星 I9158;400;sz ;h 
18840;三星G3588V（移动TD-LTE版）;400;sz ;h 
15876;三星 E110S;40;sz 40;h 40
18192;三星 I679;40;sz ;h 
18924;三星 GALAXY S6 Edge（G9250/全网通）;3550;sz ;h 
18770;三星GALAXY Note Edge（N9150/双4G）;3400;sz ;h 
18926;三星GALAXY S6（G9209/电信4G）;3350;sz ;h 
18925;三星 GALAXY S6（G9208/移动4G）;3350;sz ;h 
18923;三星 GALAXY S6（G9200/全网通）;3350;sz ;h 
17478;三星 I9208（Galaxy Mega 6.3/移动版） ;300;sz 0;h 0
18458;三星GALAXY GRAND 2（G7109/电信版）;300;sz ;h 
16857;三星 N7102;300;sz 0;h 0
18114;三星GALAXY GRAND 2（G7108/移动版）;300;sz ;h 
15858;三星 S6102;30;sz 30;h 30
15875;三星 S7500;30;sz 30;h 30
18626;三星GALAXY Ace Plus（I659/电信版）;30;sz ;h 
17482;三星 S6812i（Galaxy Fame） ;30;sz 30;h 30
15879;三星 I9050;30;sz 30;h 30
15643;三星 G400;30;sz 30;h 30
17484;三星 S6818V（Galaxy Fame/移动版） ;30;sz 0;h 0
17483;三星 S6818（Galaxy Fame/移动版） ;30;sz 0;h 0
18579;三星GALAXY Note 4(n9108v);2800;sz ;h 
18578;三星GALAXY Note 4(9109w);2800;sz ;h 
18835;三星GALAXY CORE Prime（G3608/移动4G）;280;sz ;h 
18002;三星G7106;280;sz ;h 
17879;三星Galaxy Mega 5.8（P709e/电信版）;280;sz 0;h 0
18728;三星G3819D（电信版）;280;sz ;h 
18451;三星GALAXY S4 Zoom;280;sz ;h 
18190;三星 Galaxy Grand Neo+（I9168i）;280;sz ;h 
18669;三星GALAXY Note 4（N9100/公开版/双4G）;2700;sz 0;h 2400
18107;三星GALAXY Win Pro（G3812）;260;sz ;h 
16902;三星I9105P（GALAXY SII Plus）;260;sz 260;h 260
15754;三星 P1000 ;260;sz 280;h 280
18827;三星GALAXY Mega 5.8（P709/电信版）;260;sz ;h 
18542;三星G3818;250;sz ;h 
18843;三星I8530（Galaxy Beam）;250;sz ;h 
16901;三星I9082i 联通版（Galaxy Grand DUOS）;250;sz ;h 0
17479;三星 P729（Galaxy Mega 6.3/电信版） ;250;sz 0;h 0
18580;三星GALAXY Note 4(9106w);2450;sz ;h 
15859;三星 I9228;240;sz 0;h 0
18929;三星GALAXY Grand（I9128E/移动版）;240;sz ;h 
18930;三星GALAXY Core Lite（G3589W/电信4G）;230;sz ;h 
17105;三星W2013;2200;sz 0;h 0
17252;三星I9152（Galaxy Mega 5.8）;220;sz 240;h 240
18965;三星I9082 联通版（Galaxy Grand DUOS）;220;sz ;h 
17082;三星I8552（Galaxy Win）;200;sz 220;h 220
18248;三星I869（Galaxy Win/电信版）;200;sz ;h 
16905;三星I9260 GALAXY Premier;200;sz ;h 
18246;三星I8558（Galaxy Win/移动版）;200;sz ;h 
18296;三星 I9205 16GB;200;sz 500;h 500
15779;三星 F839;20;sz 20;h 20
15881;三星 B9062;20;sz 20;h 20
15617;三星 G508E;20;sz 20;h 20
15776;三星 F859;20;sz 20;h 20
16892;三星 D710;20;sz 20;h 20
16951;三星I9305（GALAXY SIII LTE）;20;sz ;h 
16845;三星 I8250;20;sz 20;h 20
15798;三星 i589;20;sz 20;h 20
15684;三星 D608;2;sz 5;h 5
